"İl, eğitim seviyesi ve muhtemel eğitim süresine göre cinsiyet eşitliği endeksi, 2018-2022",,,,,,,,,,,,,,,,,,
"Gender parity index by school life expectancy, province and level of education, 2018-2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"İlkokul - Yükseköğretim 
Primary- Tertiary
ISCED (1-8) ",,,,,,"İlkokul-Ortaöğretim
Primary to Upper  secondary 
ISCED (1-3) ",,,,,,"Okul öncesi 
(Pre- Primary)
ISCED 0",,,,
"İl kodu
Province code","İl adı
Province name",2022,2021,2020,2019,2018,,2022,2021,2020,2019,2018,,2022,2021,2020,2019,2018
59,  Tekirdağ,1.04,1.04,1.03,1.02,0.99,,1.00,1.00,1.00,1.00,0.99,,0.99,0.98,0.96,0.98,0.97
60,  Tokat,1.01,1.00,0.98,0.96,0.97,,1.00,1.00,0.99,0.99,0.99,,0.99,0.98,1.00,0.99,0.97
61,  Trabzon,1.01,1.01,0.99,0.98,0.98,,0.99,1.00,0.98,0.99,1.00,,1.00,0.97,0.98,0.99,0.99
62,  Tunceli,1.04,1.03,1.04,1.06,1.05,,1.02,0.99,0.99,0.99,0.97,,0.99,1.02,0.94,1.00,0.97
63,  Şanlıurfa,0.90,0.88,0.88,0.88,0.86,,0.93,0.93,0.94,0.94,0.93,,0.99,0.99,0.97,0.97,0.95
64,  Uşak,1.04,1.03,1.00,0.99,0.98,,1.00,1.01,0.98,0.98,0.98,,1.00,0.98,0.95,0.97,0.97
65,  Van,0.95,0.93,0.92,0.91,0.90,,0.96,0.98,0.97,0.98,0.98,,0.99,1.00,1.00,0.99,0.98
66,  Yozgat,0.99,0.97,0.94,0.94,0.92,,0.99,0.99,0.96,0.97,0.98,,0.98,0.98,0.98,0.99,0.97
67,  Zonguldak,1.05,1.04,1.03,1.02,1.00,,1.02,1.02,1.02,1.02,1.01,,1.03,1.00,0.97,0.97,0.98
68,  Aksaray,1.02,0.97,0.96,0.97,0.94,,1.00,0.96,0.95,0.99,0.96,,0.99,0.96,0.98,1.00,0.96
69,  Bayburt,0.97,0.95,0.93,0.92,0.89,,0.98,0.98,0.97,0.98,0.98,,0.99,1.00,1.01,1.07,0.99
70,  Karaman,1.03,1.02,0.99,0.99,0.97,,1.00,1.01,0.99,0.99,0.99,,0.93,0.98,0.96,0.97,0.96
71,  Kırıkkale,1.00,0.98,0.97,0.94,0.94,,1.00,1.01,0.99,0.97,0.97,,1.01,0.97,0.94,1.00,0.98
72,  Batman,0.93,0.91,0.89,0.88,0.87,,0.97,0.98,0.96,0.97,0.96,,0.98,1.00,0.99,0.98,0.97
73,  Şırnak,0.93,0.89,0.89,0.88,0.86,,0.96,0.96,0.96,0.96,0.97,,1.00,1.00,1.01,0.98,0.96
74,  Bartın,1.04,1.04,1.04,1.02,1.02,,1.00,1.01,1.03,1.02,1.02,,0.96,1.05,0.97,0.94,0.98
75,  Ardahan,1.02,1.02,1.02,1.00,1.01,,0.97,0.99,0.99,0.99,1.01,,1.00,1.04,0.95,0.94,1.03
76,  Iğdır,1.05,1.05,1.04,1.04,1.03,,1.00,1.03,1.02,1.04,1.04,,0.98,0.98,1.03,0.99,1.01
77,  Yalova,1.05,1.03,1.03,1.01,1.00,,1.00,1.01,1.01,1.01,1.00,,0.97,1.00,0.93,0.96,0.94
78,  Karabük,1.04,1.01,1.00,0.98,0.97,,1.03,1.01,1.01,1.00,0.99,,0.99,1.01,0.92,1.01,0.99
79,  Kilis,1.00,0.99,0.96,0.93,0.94,,0.98,0.99,0.97,0.96,0.96,,0.95,1.00,1.04,0.96,0.96
80,  Osmaniye,1.01,0.99,0.98,0.96,0.95,,1.00,0.99,0.98,0.98,0.98,,0.99,0.99,0.97,0.98,0.98
81,  Düzce,1.04,1.04,1.03,1.01,0.98,,1.01,1.02,1.01,1.01,1.00,,1.01,0.98,0.99,1.01,0.96
"Kaynak: TÜİK, MEB, YÖK ",,,,,,,,,,,,,,,,,,
"Source: TurkStat, MoNE, Council of Higher Education",,,,,,,,,,,,,,,,,,
Yabancılar kapsama alınmamıştır.,,,,,,,,,,,,,,,,,,
Foreigners are not included.,,,,,,,,,,,,,,,,,,
