"İllere ve cinsiyete göre muhtemel eğitim süresi, ISCED 0 (okul öncesi eğitim), 2018-2022",,,,,,,,,,,,,,,,,,,,
"School life expectancy by sex and provinces, ISCED 0 (pre-primary education), 2018-2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2022,,,,2021,,,,2020,,,,2019,,,,2018,,
İl kodu,İl adı,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın
Province code,Province name,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female
70,  Karaman,1.7,1.8,1.7,,1.5,1.5,1.5,,0.9,0.9,0.9,,1.4,1.4,1.4,,1.4,1.4,1.3
71,  Kırıkkale,1.9,1.9,1.9,,1.4,1.4,1.4,,0.6,0.6,0.5,,1.4,1.4,1.4,,1.3,1.3,1.2
72,  Batman,1.3,1.3,1.3,,1.1,1.1,1.1,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.1,1.1,1.1
73,  Şırnak,1.4,1.4,1.4,,1.1,1.1,1.1,,0.9,0.9,0.9,,1.0,1.0,1.0,,1.0,1.0,1.0
74,  Bartın,1.7,1.7,1.7,,1.5,1.5,1.6,,1.1,1.1,1.1,,1.3,1.3,1.3,,1.3,1.3,1.2
75,  Ardahan,1.6,1.6,1.6,,1.5,1.5,1.6,,1.1,1.1,1.0,,1.2,1.2,1.1,,1.1,1.1,1.2
76,  Iğdır,1.7,1.7,1.7,,1.5,1.5,1.5,,0.8,0.8,0.9,,1.1,1.1,1.1,,1.1,1.1,1.1
77,  Yalova,1.9,1.9,1.9,,1.7,1.7,1.7,,1.0,1.0,1.0,,1.5,1.6,1.5,,1.5,1.5,1.4
78,  Karabük,2.0,2.0,2.0,,1.7,1.7,1.7,,1.0,1.1,1.0,,1.5,1.5,1.5,,1.4,1.4,1.4
79,  Kilis,1.7,1.7,1.6,,1.2,1.2,1.2,,1.4,1.4,1.5,,1.1,1.2,1.1,,1.2,1.2,1.2
80,  Osmaniye,1.6,1.6,1.5,,1.3,1.3,1.3,,0.9,0.9,0.9,,1.1,1.1,1.1,,1.1,1.1,1.1
81,  Düzce,1.9,1.9,1.9,,1.8,1.8,1.7,,1.4,1.4,1.3,,1.6,1.6,1.6,,1.6,1.6,1.5
Kaynak: MEB,,,,,,,,,,,,,,,,,,,,
Source: MoNE,,,,,,,,,,,,,,,,,,,,
Yabancılar kapsama alınmamıştır.,,,,,,,,,,,,,,,,,,,,
Foreigners are not included.,,,,,,,,,,,,,,,,,,,,
